2026-01-13 15:11:58,244 | INFO | Starting btc-alerts | symbol=BTCUSDT interval=30s | telegram=off | setups=on
2026-01-13 15:39:33,655 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.53%, funding +0.000061, width~1.05% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 765
2026-01-13 15:40:04,560 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.53%, funding +0.000060, width~1.05% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 765
2026-01-13 15:40:35,470 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.63%, funding +0.000060, width~1.05% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 766
2026-01-13 15:41:06,379 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.64%, funding +0.000060, width~1.05% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 766
2026-01-13 15:41:37,811 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.60%, funding +0.000060, width~1.07% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 761 – 92 826 | Lower zone: 91 701 – 91 766
2026-01-13 15:42:07,709 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.59%, funding +0.000060, width~1.07% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 761 – 92 826 | Lower zone: 91 701 – 91 766
2026-01-13 15:42:38,735 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.58%, funding +0.000060, width~1.07% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 761 – 92 826 | Lower zone: 91 701 – 91 766
2026-01-13 15:43:09,643 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.52%, funding +0.000060, width~1.09% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 773 – 92 838 | Lower zone: 91 701 – 91 766
2026-01-13 15:43:40,552 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.46%, funding +0.000060, width~1.14% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:44:11,457 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.42%, funding +0.000060, width~1.14% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:44:42,354 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.37%, funding +0.000060, width~1.14% |  | Funding: +0.000060 | OIΔ(15m): +253.86 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 766
2026-01-13 15:45:13,702 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.19%, funding +0.000060, width~1.14% |  | Funding: +0.000060 | OIΔ(15m): +447.00 (Bybit) |  | Upper zone: 92 823 – 92 888 | Lower zone: 91 701 – 91 765
